Latitude,Longitude,Tmax_C
32.75,74.4167,18.13
32.75,74.5833,17.82
32.75,74.75,17.74
32.75,74.9167,17.31
32.75,75.0833,16.64
32.75,75.25,15.14
32.75,75.4167,12.36
32.75,75.5833,9.2
32.75,75.75,7.13
32.75,75.9167,7.81
32.75,76.0833,10.5
32.75,76.25,4.99
32.5833,68.0833,0.35
32.5833,68.25,0.86
32.5833,68.4167,1.51
32.5833,68.5833,1.07
32.5833,68.75,2.02
32.5833,68.9167,3.83
32.5833,69.0833,2.74
32.5833,69.25,3.72
32.5833,69.4167,1.7
32.5833,69.5833,2.46
32.5833,69.75,5.17
32.5833,69.9167,9.07
32.5833,70.0833,11.95
32.5833,70.25,13.16
32.5833,70.4167,17.38
32.5833,70.5833,18.99
32.5833,70.75,19.55
32.5833,70.9167,19.66
32.5833,71.0833,19.69
32.5833,71.25,19.5
32.5833,71.4167,19.23
32.5833,71.5833,19.36
32.5833,71.75,19.08
32.5833,71.9167,17.71
32.5833,72.0833,16.93
32.5833,72.25,16.88
32.5833,72.4167,18.02
32.5833,72.5833,18.83
32.5833,72.75,19.63
32.5833,72.9167,19.38
32.5833,73.0833,19.1
32.5833,73.25,18.82
32.5833,73.4167,18.76
32.5833,73.5833,18.67
32.5833,73.75,18.63
32.5833,73.9167,18.46
32.5833,74.0833,18.32
32.5833,74.25,18.15
